Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
1998:Q4,60.41,74.12,72.21,90.37,107.72,71.36,54.22,64.33,55.30,49.80,54.10,67.45,130.73,88.88,60.94,68.08,71.16,61.72,63.94,71.17,55.14,108.31,123.99,88.69,124.17,98.57
1999:Q1,61.38,75.63,72.46,90.39,108.23,71.84,55.10,65.57,56.57,50.45,56.51,68.70,130.11,88.97,61.48,70.04,73.62,62.59,64.82,71.84,53.70,120.06,121.52,85.31,121.33,101.29
1999:Q2,62.29,76.76,73.27,90.35,108.05,72.10,55.71,67.12,57.68,52.13,58.71,69.38,129.20,89.48,62.17,72.88,75.61,63.12,66.40,72.17,53.90,126.66,120.47,83.99,117.77,102.43
1999:Q3,63.49,77.78,72.77,90.07,108.33,73.04,56.72,68.40,59.50,54.71,60.15,70.09,128.22,89.30,62.99,76.05,76.23,63.09,67.64,72.78,53.55,129.27,121.34,84.18,114.48,104.36
1999:Q4,65.05,78.02,73.71,89.86,108.73,72.68,57.81,69.84,59.77,56.63,62.60,70.48,127.47,89.06,63.66,79.09,78.22,62.69,68.31,73.25,54.54,126.43,119.58,85.93,111.64,104.63
2000:Q1,65.81,77.91,73.99,89.63,108.60,73.32,58.35,71.51,60.64,58.60,64.61,71.32,126.49,87.48,63.50,81.41,79.52,62.27,70.50,74.12,56.48,123.25,113.74,90.06,108.82,105.48
2000:Q2,66.65,77.87,74.38,90.28,108.55,74.41,58.36,71.11,61.96,61.14,65.94,72.18,125.68,88.81,64.39,84.05,83.61,61.59,73.15,74.75,57.40,118.97,114.76,88.90,106.65,106.82
2000:Q3,65.27,78.10,74.12,90.49,108.69,75.96,58.75,69.98,63.11,61.44,66.79,73.49,124.65,86.78,65.46,87.23,82.44,60.81,75.00,75.60,55.48,114.19,112.44,87.84,104.70,107.31
2000:Q4,66.38,78.77,73.81,90.50,108.26,76.45,59.46,70.38,62.91,64.10,67.66,74.55,123.82,85.26,66.77,88.53,84.29,59.89,75.99,76.50,54.38,109.73,110.80,86.88,103.21,108.80
2001:Q1,67.24,79.68,74.61,90.81,108.24,77.65,60.68,71.55,64.17,63.89,68.02,75.70,122.47,83.98,70.08,89.98,84.17,60.49,77.87,77.89,54.14,109.28,109.72,85.96,102.12,108.76
2001:Q2,69.08,79.44,74.54,91.18,107.69,77.17,61.34,70.87,65.33,65.30,68.90,76.28,122.04,85.53,71.74,91.26,85.55,60.14,77.45,78.60,54.13,102.96,107.72,85.22,101.24,109.33
2001:Q3,72.80,80.06,75.11,91.85,106.61,77.75,62.63,70.34,66.61,66.74,69.34,77.29,120.97,88.06,73.20,93.21,87.64,60.39,78.28,79.75,55.30,101.22,108.01,84.59,100.34,108.93
2001:Q4,74.53,81.00,75.92,93.28,104.53,77.58,64.51,71.72,67.25,67.00,70.35,78.84,120.13,90.12,74.93,92.83,88.55,60.93,77.90,80.89,56.65,102.30,107.36,84.08,99.38,108.26
